Name	Set	ImageFile	Cost	ReqRunes	CardType	Power	Flash	Ability	Ability2	Text	Text2
Ancient Mystic Rune	Set1	p17.png			Ancient Rune					Main(2): Target Unit gets -1000 for each 1 cost Mystic in your discard pile	
Ancient Mystic Rune	Set1	p18.png			Ancient Rune					Main(2): All players drop 1.	
Mara, Savage Savior	Set1	r01.png	5	RRR	Legendary Unit	4500		Rage		Constant: During your turn if you have 3 or less cards in hand, all Savages you control gain 1000 power.	Attack: You may drop 1 to restore targetEvent and play it without paying its cost.
Ren, Harbringer of Rage	Set1	r02.png	6	RRRR	Legendary Unit	5500				Constant: Tokens you control gain 1000	Combat: Create 2 Savage Warrior Tokens with 1000 power and Rage.
Tin, Ready for Battle	Set1	r03.png	1	R	Unit	1000		Rage			
Sen, the Rallier	Set1	r04.png	3	RR	Unit	2500				Play: Create a Savage Warrior Token with 1000 power.	Main(2): Destroy a Savage you control to deal 2000 to target main.
Max, Death Dealer	Set1	r05.png	3	RR	Unit	3000		Rage: if target opponent controls 3 or more runes.		Constant: When this card breaks a rune, deal 3000 to target Unit.	
Kal, Savage Mentor	Set1	r06.png	4	RR	Unit					Play: Rummage 5 for a Savage cost 2 or less and play it.  The card played gains 1000 power until end of turn and Rage.	
Savage Slice	Set1	r07.png	2	R	Event					Deal 2000 to target Unit	
Dani, Boastful	Set1	r08.png	1	R	Unit	2000				Constant: If you control 3 or less Runes, this card comes into play exhausted.	
Sid, Savage Kamikaze	Set1	r09.png	2	RR	Unit	2000				Removed: Deal 2000 to target Unit.	
Dak, Rage Incarnate	Set1	r10.png	5	RR	Unit	5000				Play: Target 2 Units you control.  They gain Critical until the end of the turn.	
Savage Strike	Set1	r11.png	2	R	Event		Y			Target Unit gains 2000 power until end of turn.	
Savage Call	Set1	r12.png	1	R	Event					Draw 1 and drop 1 to create a Savage Warrior token with 1000 power.	
Mara, the Untames	Set1	r13.png	2	RR	Legendary Unit	1500		Rage	Critical	Attack: Target Unit gains 1000 power until end of turn.	
Ren, Savage General	Set1	r14.png	4	RR	Legendary Unit	4000				Constant: Tokens you control gain 1000 power.	Removed: Draw 1 and drop 1 to create a Savage Warrior Token with 1000 power.
Savage Rune	Set1	r15.png			Rune						
Ancient Savage Rune	Set1	r16.png			Ancient Rune					Main(3): Restore a Savage Unit cost 2 or less.	
Ancient Savage Rune	Set1	r17.png			Ancient Rune					Main(3): If you control less Units than target opponent, deal 2000 to target Unit.	
Ancient Savage Rune	Set1	r18.png			Ancient Rune					Main(2): Destroy a Unit you control to draw a card and create a Savage Warrior Token with 1000 power.	
Savage Warrior	Set1	r19.png			Unit-Token	1000					
Medo, the Giver	Set1	y01.png	2	Y	Unit	1000				Constant: Treat this card as a Marvel Rune and while this card is readies it cannot be targeted.	
Barrett, Marvel Icon	Set1	y02.png	2	Y	Unit	1500		Might		Play: Fight target Unit cost 2 or less.	
Kelchin, Marvel Ancient	Set1	y03.png	3	YYY	Unit	2500				Play: Target Unit gains 1000 power and Might until end of turn.	
Mak, Marvel General	Set1	y04.png	6	YYY	Unit	5500		Might		Play: Fight target Unit.  If that Unit was destroyed, fight target Unit.	
Jacob, Leading the Fight	Set1	y05.png	1	Y	Unit	1000				Constant: During your turn, when a Unit you control would gain power, increase that amount by 1000 until end of turn.	
Ria, Potential Unlocked	Set1	y06.png	2	YY	Unit	1000		Critical		Constant: When you play a Unit with higher power, this card gains 1000 power.	
Fahs, Unrelenting	Set1	y07.png	4	YY	Unit	4000		Might		Constant: This card does not exhaust when attacking.	
Joco, Marvel Ancient	Set1	y08.png	5	YYYYY	Unit	4500				Removed: Revive target Unit cost 3 or less and it gains 1000 power.	
Call the Marvels	Set1	y09.png	2	Y	Event		Y			Rummage 5 for a Marvel Unit cost 2 or less and play it.	
Clash of the Titans	Set1	y10.png	2	Y	Event					Target Unit gains 1000 power and fights target Unit.	
Jed, Marvel Caretaker	Set1	y11.png	4	YYY	Legendary Unit	4000				Play: Target Unit gains 1000 power until end of turn and fights target Unit.	Removed: play a Rune exhausted.
Jed, Marvel Awakening	Set1	y12.png	8	YYYYY	Legendary Unit	7500		Devastate	Might	Play: Destroy all other Units	Constant: The first time each turn this Unit is targeted by an opponent's effect, negate that effect.
Bale, Steadfast	Set1	y13.png	3	YY	Legendary Unit	3000		Might	Critical	Attack/Defend: Draw 1.	
Bale, Transcendent Marvel	Set1	y14.png	5	YYY	Legendary Unit	5000		Might		Once Per Turn: When a Unit you control breaks a Rune, draw 1 and destroy target Unit cost 3 or less.	
Marvel Rune	Set1	y15.png			Rune						
Ancient Marvel Rune	Set1	y16.png			Ancient Rune					Main(4): Target Marvel cost 3 or less you control gains 3000.	
Ancient Marvel Rune	Set1	y17.png			Ancient Rune					Main(2): Marvels cost 3 or less cannot be targeted until the start of your next turn.	
Ancient Marvel Rune	Set1	y18.png			Ancient Rune					Main(3): Restore a Marvel Event cost 2 or less.	
Rune Shift	Set1	y19.png	2		Event					Return a Rune you control to your Stockpile.  Search your Stockpile for any Rune and play it.  Then, shuffle your Stockpile.	
Rune Desecrator	Set1	y20.png	7		Unit	3000				Play: Both players destroy target Unit and Rune they control.	
Rune Robber	Set1	y21.png	3		Unit	2000				Play: Exile 2 cards from any discard pile.	Destroyed: Draw 1, drop 1.
Archive Editor	Set1	y22.png	3		Unit	2000				Play: Recover 3, then shuffle your Archive.  Both players draw 1.	
